"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016"
"37063000101",160,126,114,209,57,57,71
"37063000102",46,37,77,36,37,35,60
"37063000200",164,148,88,108,199,140,55
"37063000301",68,41,31,24,35,60,59
"37063000302",86,100,65,85,59,47,46
"37063000401",195,124,92,107,87,85,155
"37063000402",115,120,182,137,121,138,117
"37063000500",39,37,25,56,59,59,56
"37063000600",57,107,172,153,220,196,101
"37063000700",223,178,194,140,187,,79
"37063000900",54,23,23,42,94,161,108
"37063001001",74,84,81,118,93,80,98
"37063001002",63,162,129,74,57,,43
"37063001100",56,80,102,51,104,76,52
"37063001301",88,102,110,71,55,52,56
"37063001303",419,142,117,123,124,89,126
"37063001304",47,28,57,54,64,65,126
"37063001400",176,154,171,229,102,,141
"37063001501",605,1526,1014,45,89,178,168
"37063001502",22,19,22,33,27,,41
"37063001503",,,,,,,
"37063001601",164,105,147,151,275,160,162
"37063001603",830,247,131,355,703,,831
"37063001604",318,326,554,335,279,211,230
"37063001705",42,39,50,43,87,75,67
"37063001706",76,106,68,62,72,37,33
"37063001707",145,92,192,162,128,85,93
"37063001708",372,89,103,44,79,106,99
"37063001709",50,52,56,50,43,43,52
"37063001710",51,85,96,56,56,54,44
"37063001711",34,22,37,24,28,28,25
"37063001801",142,186,120,120,147,129,89
"37063001802",243,198,178,118,106,55,83
"37063001806",205,408,464,474,568,370,252
"37063001807",179,166,194,105,193,214,213
"37063001808",293,120,120,363,215,149,200
"37063001809",44,95,98,120,83,99,102
"37063001900",537,484,333,178,98,196,116
"37063002007",33,74,61,76,122,114,72
"37063002008",244,312,160,173,192,231,169
"37063002009",120,83,117,109,118,90,128
"37063002013",416,329,311,156,83,86,84
"37063002015",34,45,36,43,57,46,28
"37063002016",36,20,31,36,45,26,33
"37063002017",82,83,85,146,109,150,131
"37063002018",50,46,126,92,108,93,116
"37063002019",62,49,80,94,85,85,72
"37063002020",1261,306,898,992,1480,1110,
"37063002021",72,123,112,95,114,137,81
"37063002022",28,49,47,78,66,70,73
"37063002023",60,113,58,58,49,54,53
"37063002024",157,96,128,204,159,180,147
"37063002025",68,58,59,97,203,132,154
"37063002026",38,49,80,73,52,39,50
"37063002027",29,67,64,45,45,45,28
"37063002028",40,32,41,56,59,,50
"37063002100",54,161,175,184,141,238,496
"37063002200",206,92,112,95,113,67,93
"37063002300",215,92,164,48,72,,204
"37063980100",,,,,,,
