year,fips,value
2018,37063000101,14
2019,37063000101,17
2018,37063000102,31
2019,37063000102,39
2018,37063000200,21
2019,37063000200,28
2018,37063000301,47
2019,37063000301,50
2018,37063000302,50
2019,37063000302,71
2018,37063000401,39
2019,37063000401,48
2018,37063000402,169
2019,37063000402,261
2018,37063000500,142
2019,37063000500,193
2018,37063000600,76
2019,37063000600,106
2018,37063000700,55
2019,37063000700,98
2018,37063000900,6
2019,37063000900,4
2018,37063001001,14
2019,37063001001,16
2018,37063001002,17
2019,37063001002,21
2018,37063001100,20
2019,37063001100,26
2018,37063001301,5
2019,37063001301,4
2018,37063001303,0
2019,37063001303,6
2018,37063001304,3
2019,37063001304,3
2018,37063001400,0
2019,37063001400,0
2018,37063001501,24
2019,37063001501,60
2018,37063001502,864
2019,37063001502,1464
2018,37063001503,0
2019,37063001503,10
2018,37063001601,47
2019,37063001601,62
2018,37063001603,145
2019,37063001603,160
2018,37063001604,91
2019,37063001604,96
2018,37063001705,108
2019,37063001705,100
2018,37063001706,222
2019,37063001706,298
2018,37063001707,131
2019,37063001707,192
2018,37063001708,46
2019,37063001708,52
2018,37063001709,20
2019,37063001709,29
2018,37063001710,72
2019,37063001710,87
2018,37063001711,26
2019,37063001711,42
2018,37063001801,17
2019,37063001801,24
2018,37063001802,29
2019,37063001802,33
2018,37063001806,21
2019,37063001806,34
2018,37063001807,64
2019,37063001807,76
2018,37063001808,199
2019,37063001808,246
2018,37063001809,61
2019,37063001809,124
2018,37063001900,47
2019,37063001900,91
2018,37063002007,69
2019,37063002007,67
2018,37063002008,50
2019,37063002008,66
2018,37063002009,7
2019,37063002009,7
2018,37063002013,66
2019,37063002013,100
2018,37063002015,195
2019,37063002015,254
2018,37063002016,173
2019,37063002016,197
2018,37063002017,315
2019,37063002017,351
2018,37063002018,254
2019,37063002018,287
2018,37063002019,51
2019,37063002019,71
2018,37063002020,313
2019,37063002020,401
2018,37063002021,164
2019,37063002021,155
2018,37063002022,115
2019,37063002022,120
2018,37063002023,38
2019,37063002023,48
2018,37063002024,233
2019,37063002024,260
2018,37063002025,190
2019,37063002025,218
2018,37063002026,79
2019,37063002026,89
2018,37063002027,236
2019,37063002027,299
2018,37063002028,328
2019,37063002028,409
2018,37063002100,28
2019,37063002100,46
2018,37063002200,28
2019,37063002200,54
2018,37063002300,9
2019,37063002300,39
2018,37063980100,0
2019,37063980100,0
2015,37063000101,16
2015,37063000102,22
2015,37063000200,16
2015,37063000301,41
2015,37063000302,64
2015,37063000401,50
2015,37063000402,114
2015,37063000500,193
2015,37063000600,104
2015,37063000700,56
2015,37063000900,
2015,37063001001,
2015,37063001002,15
2015,37063001100,
2015,37063001301,
2015,37063001303,
2015,37063001304,
2015,37063001400,
2015,37063001501,31
2015,37063001502,695
2015,37063001503,
2015,37063001601,52
2015,37063001603,131
2015,37063001604,78
2015,37063001705,115
2015,37063001706,266
2015,37063001707,124
2015,37063001708,35
2015,37063001709,20
2015,37063001710,71
2015,37063001711,33
2015,37063001801,19
2015,37063001802,31
2015,37063001806,23
2015,37063001807,67
2015,37063001808,159
2015,37063001809,80
2015,37063001900,47
2015,37063002007,71
2015,37063002008,57
2015,37063002009,
2015,37063002013,85
2015,37063002015,174
2015,37063002016,222
2015,37063002017,323
2015,37063002018,235
2015,37063002019,70
2015,37063002020,278
2015,37063002021,166
2015,37063002022,149
2015,37063002023,57
2015,37063002024,240
2015,37063002025,194
2015,37063002026,78
2015,37063002027,277
2015,37063002028,296
2015,37063002100,28
2015,37063002200,35
2015,37063002300,
2015,37063980100,
2017,37063000101,16
2017,37063000102,41
2017,37063000200,19
2017,37063000301,51
2017,37063000302,57
2017,37063000401,42
2017,37063000402,216
2017,37063000500,180
2017,37063000600,94
2017,37063000700,70
2017,37063000900,
2017,37063001001,20
2017,37063001002,19
2017,37063001100,22
2017,37063001301,
2017,37063001303,
2017,37063001304,
2017,37063001400,
2017,37063001501,38
2017,37063001502,1094
2017,37063001503,
2017,37063001601,50
2017,37063001603,145
2017,37063001604,97
2017,37063001705,121
2017,37063001706,243
2017,37063001707,144
2017,37063001708,47
2017,37063001709,22
2017,37063001710,81
2017,37063001711,32
2017,37063001801,17
2017,37063001802,30
2017,37063001806,24
2017,37063001807,71
2017,37063001808,218
2017,37063001809,76
2017,37063001900,66
2017,37063002007,68
2017,37063002008,55
2017,37063002009,
2017,37063002013,88
2017,37063002015,232
2017,37063002016,205
2017,37063002017,343
2017,37063002018,276
2017,37063002019,66
2017,37063002020,354
2017,37063002021,172
2017,37063002022,133
2017,37063002023,47
2017,37063002024,270
2017,37063002025,198
2017,37063002026,87
2017,37063002027,278
2017,37063002028,413
2017,37063002100,31
2017,37063002200,36
2017,37063002300,14
2017,37063980100,
