"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
37063000101,193,178,276,303,319,360,471,434,415
37063000102,720,711,557,507,516,658,767,850,887
37063000200,452,455,511,536,608,588,552,554,478
37063000301,339,294,347,392,378,376,413,346,306
37063000302,372,379,477,455,409,371,483,534,624
37063000401,263,321,393,432,436,507,460,364,315
37063000402,179,120,163,138,140,137,167,209,271
37063000500,264,188,199,256,334,413,480,566,668
37063000600,688,578,707,802,920,849,831,750,767
37063000700,208,235,213,218,123,168,165,272,349
37063000900,123,112,171,188,283,279,317,243,285
37063001001,369,390,503,556,627,621,598,646,558
37063001002,621,430,568,967,1068,1177,1242,990,646
37063001100,149,179,289,377,487,564,557,487,410
37063001301,100,119,114,127,154,137,124,128,120
37063001303,151,116,107,92,143,125,122,187,219
37063001304,302,209,225,231,245,223,289,363,452
37063001400,219,257,268,133,173,232,203,232,305
37063001501,8,12,15,3,24,28,18,21,27
37063001502,668,701,817,789,572,663,740,685,608
37063001503,21,19,16,12,14,5,6,15,15
37063001601,1004,922,881,835,848,901,1042,1112,1229
37063001603,1186,1130,1121,1235,1232,1109,1208,1252,1303
37063001604,1043,1088,1151,1118,1302,1317,1205,1089,1128
37063001705,374,562,481,564,639,761,509,411,439
37063001706,400,299,312,435,498,662,632,650,604
37063001707,528,613,678,762,707,659,704,703,757
37063001708,672,719,739,651,766,827,838,795,876
37063001709,571,621,570,505,588,835,801,1145,1085
37063001710,577,650,539,576,706,663,597,655,709
37063001711,418,357,298,380,472,456,685,702,723
37063001801,828,1007,1213,1278,1368,1623,1528,1333,1453
37063001802,976,982,807,998,1110,1268,1380,1400,1440
37063001806,892,873,997,938,1047,1112,1336,1212,1462
37063001807,1234,1401,1333,1443,1286,1374,1511,1418,1484
37063001808,639,616,694,840,969,1196,1432,1773,2035
37063001809,495,526,401,357,396,822,730,840,830
37063001900,407,416,366,415,534,537,632,743,733
37063002007,616,573,466,473,551,461,542,651,612
37063002008,197,218,249,238,215,259,269,316,283
37063002009,544,495,361,301,294,448,437,470,511
37063002013,356,385,433,515,608,575,630,649,696
37063002015,594,537,540,488,652,457,471,425,399
37063002016,794,719,873,792,968,848,787,1036,969
37063002017,368,439,443,497,551,577,536,678,673
37063002018,726,708,712,701,550,743,932,859,740
37063002019,416,511,548,518,640,609,709,594,549
37063002020,517,602,612,815,874,772,703,782,735
37063002021,369,438,405,455,380,404,339,506,524
37063002022,514,460,542,449,279,291,392,468,546
37063002023,326,279,347,369,425,408,469,441,459
37063002024,807,886,1006,1011,995,1049,1164,1140,1144
37063002025,522,585,717,933,891,788,762,743,645
37063002026,663,611,608,560,617,728,583,702,893
37063002027,753,900,899,844,918,1332,1169,1242,1517
37063002028,645,622,601,629,728,601,758,973,1208
37063002100,1394,1473,1396,1329,1410,1492,1337,1400,1484
37063002200,228,190,202,234,236,214,268,276,319
37063002300,46,39,58,52,77,93,96,147,139
37063980100,0,8,8,0,0,0,0,0,0
