id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
37063000101,24707269,22989051,22570426,21971417,21186526,15476494,26637439,24357369,24716478,24876405,25127785,25433309,26153520,24820237,26870485,25895814
37063000102,3978363,13637156,4303075,4465038,16727841,18400464,23209308,28548835,28023758,14681457,13895412,14770804,18435755,15977828,30287552,42747540
37063000200,6975174,8117358,7608888,7908804,7718372,8202823,10613486,10211802,10332887,10105456,10152569,9030529,8748879,8385040,9851536,9757397
37063000301,20699871,21292234,21970406,23383067,22595748,22242048,25071461,24736608,24538525,25758715,25097171,25856191,26255976,24998418,31608824,26112351
37063000302,6674778,6299925,3565433,3327516,3287364,3755560,6981113,8404921,9413361,9477056,9792634,9730325,10796223,11291052,13249764,14509015
37063000401,5248045,5126847,6076882,8363933,6283113,6753204,11617495,13215691,13415836,12858686,13938897,13886996,15612473,14488236,18790562,20172746
37063000402,38762926,37590982,45062492,45460434,46093802,73379153,118358615,110697736,111466419,117582534,113254326,121118886,132485991,165044932,282674973,279791648
37063000500,13458909,13984626,14158409,16013923,15757725,15710429,21944411,18393432,18851158,20865072,21476182,22481767,22560193,25337693,60676804,25608920
37063000600,30303134,31106497,30213493,31773666,32179726,23115555,28738551,31399483,32261829,31801002,33963977,24734007,22759802,29712530,43476285,42149383
37063000700,6698121,7511773,5977308,7641446,7789352,20727224,31029720,20818998,20076858,40424531,37270030,42222719,44708796,75117896,91846861,90514236
37063000900,2740345,2556430,2258297,2801325,3770282,4237070,6018403,7067794,4879490,5238752,5049901,4555510,4417236,3655141,4256347,4351877
37063001001,4441668,4751169,5498925,6627407,7373226,10073651,13128173,19836717,18767850,18137654,18489659,17903020,17431120,14428251,15521236,13446596
37063001002,13285659,14867689,16626513,17707907,17791139,17044533,23832390,21859653,21983800,22177633,18353708,18009744,17059320,17342889,28600780,32020557
37063001100,7695836,6276212,6223938,6715859,8397188,6485615,10571893,19623993,19111240,18544382,18308217,20044135,20256503,15655701,20148645,21311620
37063001301,2604683,2848139,3300483,3513845,3116911,3056847,4254303,4793981,4261437,4393033,4518453,4828005,5173868,4834530,9743234,5440687
37063001303,4573154,4267691,3965436,4097082,4335886,5009386,5901788,5603900,5725988,5523248,5867438,5761599,6266218,6140584,5207714,4655848
37063001304,1841161,1755337,1791042,2531180,8961249,8916250,10343251,10043490,9549201,9617341,10094774,10004257,10272056,10740770,11284056,11223297
37063001400,2166625,2220120,2374877,2504269,2990038,2584165,3872933,3678637,3223520,4001905,4044641,4018852,4025297,4502167,4060959,4118985
37063001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37063001502,91322615,79868336,77927165,80671435,81464162,150170040,255379808,255657190,254484284,286079658,330458502,333811766,357042814,352801052,358223169,337083469
37063001503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37063001601,7700026,8225087,12067249,9783375,11320283,13468719,15513413,16233880,15406068,16770841,19068535,19772604,17973058,17963053,17823215,22659125
37063001603,3700221,6553218,8751931,10336646,9922935,9689543,13683057,14437071,13741058,14989564,15101414,15326303,15747810,14018021,13841078,13006172
