id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063000101,28,8,6,7,27,11,18,11,10
37063000102,10,7,4,7,11,9,9,11,4
37063000200,13,5,4,9,6,11,4,15,1
37063000301,5,8,2,8,15,11,14,11,4
37063000302,5,3,7,1,10,12,3,12,8
37063000401,2,4,2,2,3,3,8,11,3
37063000402,3,1,0,1,4,4,5,1,1
37063000500,25,13,7,7,5,28,13,4,11
37063000600,33,8,6,8,14,11,6,12,11
37063000700,7,3,5,3,4,7,10,3,7
37063000900,18,12,12,16,19,16,17,31,8
37063001001,32,16,23,14,24,15,29,35,17
37063001002,40,21,35,20,26,33,65,77,15
37063001100,25,6,9,12,16,17,6,21,16
37063001301,11,11,11,18,7,29,27,30,19
37063001303,2,18,10,5,13,12,11,30,8
37063001304,8,19,3,6,3,16,9,15,10
37063001400,20,11,14,11,20,21,21,36,28
37063001501,0,0,0,0,0,0,0,0,0
37063001502,2,2,1,3,0,6,3,3,0
37063001503,0,0,0,0,0,0,0,0,0
37063001601,6,7,1,2,2,4,3,1,6
37063001603,2,3,1,1,6,3,2,1,2
37063001604,3,3,0,1,5,0,1,1,4
37063001705,14,2,5,2,4,12,8,4,10
37063001706,6,1,0,2,0,2,8,6,4
37063001707,8,5,6,4,6,5,8,8,3
37063001708,11,9,8,4,8,4,12,15,4
37063001709,25,14,12,10,15,23,27,17,7
37063001710,7,3,5,6,9,11,14,5,3
37063001711,11,5,0,2,11,10,8,21,4
37063001801,13,14,8,6,11,14,18,24,11
37063001802,20,22,15,18,46,25,67,36,21
37063001806,11,3,3,3,5,2,13,9,5
37063001807,18,2,1,4,12,20,12,12,6
37063001808,5,0,0,0,0,2,6,11,2
37063001809,3,1,0,1,0,6,8,2,3
37063001900,0,0,0,0,0,0,0,0,0
37063002007,14,3,10,5,1,4,9,4,7
37063002008,4,0,1,1,1,0,0,0,0
37063002009,22,31,21,30,32,28,47,35,34
37063002013,3,4,4,3,1,3,13,6,7
37063002015,3,0,2,0,1,0,2,2,1
37063002016,1,0,0,1,0,4,0,3,0
37063002017,1,0,2,0,0,1,0,4,0
37063002018,2,2,1,0,1,2,1,2,1
37063002019,0,0,1,0,2,0,0,1,0
37063002020,1,0,0,1,1,0,1,2,0
37063002021,0,0,0,1,1,1,0,1,0
37063002022,0,0,0,0,0,0,0,1,2
37063002023,2,0,1,1,0,0,0,0,0
37063002024,3,3,1,1,0,0,1,5,3
37063002025,12,5,13,12,3,8,19,25,3
37063002026,5,3,10,8,6,19,20,14,11
37063002027,3,4,6,1,5,3,5,20,4
37063002028,0,0,2,2,1,2,0,5,3
37063002100,0,0,0,0,0,1,0,0,2
37063002200,8,4,4,5,4,2,12,5,2
37063002300,3,8,8,4,2,18,2,22,9
37063980100,0,0,0,0,0,0,1,0,0
