id,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,49,41,63,118,152,174,179,235,230,136,189,244,161,152
37063000102,107,68,116,164,187,209,318,408,399,470,421,510,382,282
37063000200,121,115,96,103,72,257,194,241,306,304,150,174,228,297
37063000301,137,144,79,56,114,166,240,233,202,186,140,150,141,156
37063000302,313,187,166,173,172,238,245,234,382,372,212,201,135,66
37063000401,126,82,81,69,75,56,132,119,146,127,102,97,91,87
37063000402,121,115,100,92,66,108,107,79,73,110,80,117,93,148
37063000500,210,189,165,216,243,242,232,307,307,364,315,228,146,93
37063000600,409,416,400,384,365,355,465,388,474,408,364,270,241,146
37063000700,118,93,115,139,123,209,235,247,201,210,129,240,158,145
37063000900,102,132,99,127,73,106,150,174,173,162,118,88,79,57
37063001001,282,326,268,290,260,257,338,349,354,273,276,211,176,136
37063001002,93,135,135,398,372,737,746,896,506,521,347,290,326,200
37063001100,100,87,70,135,165,225,268,340,243,177,180,143,67,80
37063001301,82,75,72,33,38,71,112,118,172,185,233,245,230,210
37063001303,86,121,112,100,94,168,147,130,213,228,254,251,205,233
37063001304,90,80,88,167,119,179,266,308,198,206,143,104,78,96
37063001400,81,40,46,44,49,51,25,14,25,69,80,62,121,147
37063001501,76,55,41,52,48,30,34,34,67,70,89,96,52,82
37063001502,162,250,190,344,368,322,243,341,389,370,330,467,311,166
37063001503,13,41,33,38,48,28,26,27,32,29,27,22,12,47
37063001601,135,122,109,95,125,113,122,134,225,197,189,187,314,434
37063001603,189,148,307,264,268,242,337,194,179,136,147,187,205,223
37063001604,262,225,246,240,224,125,148,185,138,171,131,139,143,167
37063001705,213,144,145,129,156,113,140,120,202,207,213,221,271,179
37063001706,168,111,198,180,165,319,378,271,373,577,661,621,807,656
37063001707,443,329,328,352,319,173,169,210,171,168,192,201,244,210
37063001708,34,87,92,102,162,204,164,195,194,174,202,173,195,183
37063001709,171,157,206,243,154,285,372,386,489,527,322,534,710,626
37063001710,187,121,127,138,201,308,345,313,339,455,392,371,399,236
37063001711,451,386,423,336,364,336,268,329,286,199,146,172,285,208
37063001801,244,321,311,277,234,238,135,240,342,391,447,431,338,287
37063001802,309,180,223,163,416,413,466,607,652,397,426,456,516,594
37063001806,64,64,87,91,135,179,194,273,295,215,196,195,62,69
37063001807,284,243,171,259,293,256,298,398,338,368,259,238,237,160
37063001808,36,79,159,145,229,313,222,244,305,300,364,373,408,374
37063001809,191,268,199,202,215,247,299,281,292,378,523,411,388,456
37063001900,166,149,153,160,137,86,104,94,96,103,91,57,37,69
37063002007,252,218,288,241,329,271,378,331,322,287,345,377,241,227
37063002008,138,129,77,61,75,68,82,68,52,86,73,67,68,51
37063002009,236,208,231,315,191,183,196,202,127,113,235,201,194,193
37063002013,119,112,145,119,131,196,205,204,199,230,140,92,119,178
37063002015,205,141,205,163,216,288,279,294,268,229,143,236,290,337
37063002016,271,420,424,502,555,570,477,463,217,328,202,159,130,157
37063002017,104,99,171,188,204,235,315,275,392,398,326,228,212,104
37063002018,167,177,145,124,266,305,367,425,393,176,167,172,262,394
37063002019,244,312,254,170,172,157,216,141,95,84,13,24,29,22
37063002020,87,101,127,159,209,190,296,270,371,346,358,349,360,312
37063002021,141,116,159,127,211,186,168,263,288,395,279,449,292,170
37063002022,460,586,371,227,367,117,81,146,147,214,225,213,168,224
37063002023,190,158,136,79,89,65,111,89,159,170,292,222,227,184
37063002024,73,108,122,135,181,314,307,319,348,366,290,339,323,325
37063002025,207,269,367,356,320,265,245,379,320,394,308,235,179,310
37063002026,449,361,422,301,394,474,484,395,530,561,712,881,911,678
37063002027,619,606,367,463,461,494,455,465,351,329,219,231,277,304
37063002028,189,195,162,181,153,111,166,246,386,687,661,711,534,443
37063002100,188,79,124,119,150,180,163,114,158,79,59,61,77,40
37063002200,100,109,150,178,134,130,81,81,75,72,164,215,183,164
37063002300,24,11,8,21,43,34,39,35,48,41,53,42,32,23
37063980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
