id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022
37063000101,7,7,9,9,8,7,7,4,10,15,16
37063000102,11,10,8,8,9,7,5,7,10,27,29
37063000200,9,13,5,10,8,10,10,8,9,59,54
37063000301,9,31,37,33,42,37,15,16,18,68,73
37063000302,5,7,9,10,10,10,9,6,5,29,31
37063000401,7,6,6,7,6,6,7,6,7,32,36
37063000402,83,3,6,10,8,8,10,7,13,21,19
37063000500,65,59,54,33,9,13,5,24,14,106,167
37063000600,14,12,10,9,9,10,9,11,9,48,51
37063000700,12,8,11,9,5,7,6,8,10,73,80
37063000900,119,63,64,63,65,139,56,57,42,40,43
37063001001,71,68,68,12,41,12,17,17,9,97,68
37063001002,63,41,47,52,44,33,34,16,18,84,83
37063001100,174,21,18,52,10,42,56,60,10,47,44
37063001301,196,17,70,74,66,71,75,68,46,52,43
37063001303,53,64,34,31,38,38,38,39,29,23,25
37063001304,117,16,22,31,39,51,40,32,10,31,33
37063001400,51,61,58,32,29,24,27,59,21,71,77
37063001501,,,,,,,,,,,
37063001502,297,72,52,103,44,398,835,819,453,,
37063001503,,,,,,,,,,,
37063001601,7,8,9,8,6,7,6,7,6,37,41
37063001603,8,8,8,8,7,7,6,8,7,27,28
37063001604,8,7,7,7,7,7,7,8,8,23,29
37063001705,16,14,14,9,9,7,8,11,7,33,36
37063001706,9,10,11,12,7,8,8,8,8,30,28
37063001707,8,5,5,6,8,9,9,9,7,41,45
37063001708,18,10,9,8,10,8,5,6,6,11,11
37063001709,37,37,43,50,40,39,10,6,5,51,56
37063001710,4,8,9,8,9,8,8,7,7,21,38
37063001711,47,43,4,13,31,8,8,8,6,46,43
37063001801,12,4,4,5,6,8,7,8,8,53,59
37063001802,10,10,8,22,25,22,28,32,6,59,62
37063001806,8,7,7,7,7,7,6,8,8,42,43
37063001807,9,6,6,6,8,6,7,5,6,27,32
37063001808,7,8,6,6,6,6,5,6,6,12,11
37063001809,10,7,7,9,6,9,9,11,12,26,25
37063001900,6,9,9,8,9,6,6,8,6,15,15
37063002007,8,6,8,6,8,7,7,6,7,43,41
37063002008,7,8,8,7,9,9,8,8,6,18,13
37063002009,18,1,6,24,24,25,25,24,19,55,52
37063002013,6,6,6,7,5,6,6,5,4,13,14
37063002015,46,11,9,7,12,16,17,15,15,147935,74048
37063002016,106,19,69,89,55,11,1,51,58,,
37063002017,7,6,6,5,5,5,6,6,5,23,20
37063002018,9,8,6,2,6,7,7,7,7,32,29
37063002019,8,7,7,7,5,9,8,7,7,43,40
37063002020,9,9,9,6,7,6,6,5,6,12,11
37063002021,3,7,8,10,7,8,12,8,4,25,22
37063002022,7,8,8,7,6,7,7,7,7,35,33
37063002023,23,9,9,6,6,5,7,8,10,22,21
37063002024,5,7,6,7,6,6,6,5,6,28,28
37063002025,8,8,9,11,9,6,7,6,8,27,27
37063002026,27,25,11,8,6,17,7,10,15,42,31
37063002027,8,10,9,10,10,8,8,6,7,37,33
37063002028,9,19,11,8,8,7,8,7,8,44,36
37063002100,5,6,6,6,5,4,6,6,7,43,45
37063002200,105,16,17,15,15,15,14,19,13,20,15
37063002300,891,68,44,150,109,122,77,41,36,33,30
