year,fips,value
2015,37063000101,48
2017,37063000101,50
2018,37063000101,41
2019,37063000101,57
2015,37063000102,38
2017,37063000102,32
2018,37063000102,27
2019,37063000102,37
2015,37063000200,31
2017,37063000200,37
2018,37063000200,28
2019,37063000200,27
2015,37063000301,29
2017,37063000301,21
2018,37063000301,13
2019,37063000301,18
2015,37063000302,13
2015,37063000500,43
2017,37063000500,39
2018,37063000500,41
2019,37063000500,46
2015,37063000600,37
2017,37063000600,33
2018,37063000600,24
2019,37063000600,22
2015,37063000700,42
2017,37063000700,42
2018,37063000700,31
2019,37063000700,39
2015,37063000900,50
2017,37063000900,42
2018,37063000900,32
2019,37063000900,43
2015,37063001001,79
2017,37063001001,83
2018,37063001001,72
2019,37063001001,75
2015,37063001002,92
2017,37063001002,82
2018,37063001002,62
2019,37063001002,95
2015,37063001100,78
2017,37063001100,71
2018,37063001100,53
2019,37063001100,60
2015,37063001301,31
2017,37063001301,24
2018,37063001301,17
2019,37063001301,38
2015,37063001303,63
2017,37063001303,52
2018,37063001303,43
2019,37063001303,57
2015,37063001304,76
2017,37063001304,64
2018,37063001304,52
2019,37063001304,63
2015,37063001400,67
2017,37063001400,54
2018,37063001400,37
2019,37063001400,53
2015,37063001502,65
2017,37063001502,43
2018,37063001502,42
2019,37063001502,58
2015,37063001601,48
2017,37063001601,48
2018,37063001601,45
2019,37063001601,58
2015,37063001603,20
2017,37063001603,19
2018,37063001603,18
2019,37063001603,26
2015,37063001604,27
2017,37063001604,27
2018,37063001604,26
2019,37063001604,33
2015,37063001705,23
2017,37063001705,20
2018,37063001705,22
2019,37063001705,31
2015,37063001706,11
2019,37063001706,17
2015,37063001707,12
2017,37063001707,11
2019,37063001707,14
2015,37063001708,85
2017,37063001708,82
2018,37063001708,76
2019,37063001708,94
2015,37063001709,114
2017,37063001709,119
2018,37063001709,113
2019,37063001709,123
2015,37063001710,39
2017,37063001710,33
2018,37063001710,30
2019,37063001710,38
2015,37063001711,35
2017,37063001711,33
2018,37063001711,23
2019,37063001711,36
2015,37063001801,80
2017,37063001801,83
2018,37063001801,76
2019,37063001801,95
2015,37063001802,97
2017,37063001802,90
2018,37063001802,80
2019,37063001802,92
2015,37063001806,32
2017,37063001806,37
2018,37063001806,33
2019,37063001806,39
2015,37063001807,78
2017,37063001807,72
2018,37063001807,67
2019,37063001807,92
2015,37063001808,19
2017,37063001808,27
2018,37063001808,27
2019,37063001808,29
2015,37063001809,17
2017,37063001809,18
2018,37063001809,16
2019,37063001809,22
2015,37063002007,44
2017,37063002007,38
2018,37063002007,33
2019,37063002007,37
2015,37063002009,143
2017,37063002009,122
2018,37063002009,109
2019,37063002009,128
2015,37063002013,20
2017,37063002013,20
2018,37063002013,16
2019,37063002013,20
2015,37063002015,22
2017,37063002015,17
2018,37063002015,15
2019,37063002015,27
2019,37063002016,23
2015,37063002017,13
2017,37063002017,13
2019,37063002017,13
2015,37063002018,20
2017,37063002018,14
2018,37063002018,12
2019,37063002018,24
2015,37063002020,22
2017,37063002020,16
2018,37063002020,12
2019,37063002020,21
2015,37063002021,19
2017,37063002021,19
2018,37063002021,15
2019,37063002021,22
2015,37063002022,27
2017,37063002022,26
2018,37063002022,24
2019,37063002022,27
2015,37063002023,13
2017,37063002023,12
2019,37063002023,11
2015,37063002024,23
2017,37063002024,19
2018,37063002024,18
2019,37063002024,20
2015,37063002025,58
2017,37063002025,51
2018,37063002025,48
2019,37063002025,49
2015,37063002026,101
2017,37063002026,87
2018,37063002026,79
2019,37063002026,98
2015,37063002027,51
2017,37063002027,50
2018,37063002027,48
2019,37063002027,57
2015,37063002028,12
2017,37063002028,12
2019,37063002028,20
2015,37063002100,26
2017,37063002100,23
2018,37063002100,22
2019,37063002100,28
2015,37063002200,14
2017,37063002200,11
2018,37063002200,21
2019,37063002200,18
2015,37063002300,30
2017,37063002300,28
2018,37063002300,20
2019,37063002300,33
