year,fips,value
2018,37063000101,228
2019,37063000101,334
2018,37063000102,405
2019,37063000102,533
2018,37063000200,194
2019,37063000200,243
2018,37063000301,141
2019,37063000301,181
2018,37063000302,189
2019,37063000302,235
2018,37063000401,76
2019,37063000401,80
2018,37063000402,87
2019,37063000402,95
2018,37063000500,153
2019,37063000500,191
2018,37063000600,431
2019,37063000600,517
2018,37063000700,44
2019,37063000700,69
2018,37063000900,199
2019,37063000900,267
2018,37063001001,379
2019,37063001001,429
2018,37063001002,1046
2019,37063001002,1220
2018,37063001100,288
2019,37063001100,387
2018,37063001301,59
2019,37063001301,103
2018,37063001303,43
2019,37063001303,75
2018,37063001304,144
2019,37063001304,201
2018,37063001400,123
2019,37063001400,174
2018,37063001501,7
2019,37063001501,15
2018,37063001502,519
2019,37063001502,631
2018,37063001503,0
2019,37063001503,0
2018,37063001601,177
2019,37063001601,240
2018,37063001603,164
2019,37063001603,229
2018,37063001604,96
2019,37063001604,120
2018,37063001705,264
2019,37063001705,379
2018,37063001706,177
2019,37063001706,239
2018,37063001707,127
2019,37063001707,155
2018,37063001708,268
2019,37063001708,343
2018,37063001709,395
2019,37063001709,588
2018,37063001710,342
2019,37063001710,487
2018,37063001711,430
2019,37063001711,554
2018,37063001801,708
2019,37063001801,921
2018,37063001802,760
2019,37063001802,1047
2018,37063001806,293
2019,37063001806,409
2018,37063001807,688
2019,37063001807,910
2018,37063001808,273
2019,37063001808,396
2018,37063001809,214
2019,37063001809,340
2018,37063001900,57
2019,37063001900,88
2018,37063002007,100
2019,37063002007,148
2018,37063002008,14
2019,37063002008,30
2018,37063002009,340
2019,37063002009,411
2018,37063002013,100
2019,37063002013,141
2018,37063002015,487
2019,37063002015,629
2018,37063002016,446
2019,37063002016,568
2018,37063002017,90
2019,37063002017,112
2018,37063002018,103
2019,37063002018,171
2018,37063002019,22
2019,37063002019,51
2018,37063002020,57
2019,37063002020,98
2018,37063002021,88
2019,37063002021,126
2018,37063002022,79
2019,37063002022,124
2018,37063002023,31
2019,37063002023,45
2018,37063002024,80
2019,37063002024,129
2018,37063002025,242
2019,37063002025,266
2018,37063002026,297
2019,37063002026,380
2018,37063002027,269
2019,37063002027,399
2018,37063002028,146
2019,37063002028,224
2018,37063002100,51
2019,37063002100,74
2018,37063002200,67
2019,37063002200,98
2018,37063002300,49
2019,37063002300,90
2018,37063980100,0
2019,37063980100,0
2015,37063000101,218
2015,37063000102,482
2015,37063000200,246
2015,37063000301,191
2015,37063000302,220
2015,37063000401,70
2015,37063000402,97
2015,37063000500,191
2015,37063000600,569
2015,37063000700,56
2015,37063000900,204
2015,37063001001,348
2015,37063001002,981
2015,37063001100,285
2015,37063001301,46
2015,37063001303,45
2015,37063001304,170
2015,37063001400,107
2015,37063001501,
2015,37063001502,600
2015,37063001503,
2015,37063001601,121
2015,37063001603,104
2015,37063001604,71
2015,37063001705,209
2015,37063001706,155
2015,37063001707,100
2015,37063001708,221
2015,37063001709,298
2015,37063001710,370
2015,37063001711,368
2015,37063001801,525
2015,37063001802,610
2015,37063001806,214
2015,37063001807,516
2015,37063001808,254
2015,37063001809,197
2015,37063001900,48
2015,37063002007,68
2015,37063002008,14
2015,37063002009,239
2015,37063002013,84
2015,37063002015,541
2015,37063002016,484
2015,37063002017,93
2015,37063002018,95
2015,37063002019,30
2015,37063002020,44
2015,37063002021,95
2015,37063002022,74
2015,37063002023,41
2015,37063002024,77
2015,37063002025,219
2015,37063002026,244
2015,37063002027,231
2015,37063002028,163
2015,37063002100,43
2015,37063002200,49
2015,37063002300,40
2015,37063980100,
2017,37063000101,245
2017,37063000102,475
2017,37063000200,253
2017,37063000301,181
2017,37063000302,214
2017,37063000401,87
2017,37063000402,110
2017,37063000500,202
2017,37063000600,552
2017,37063000700,60
2017,37063000900,213
2017,37063001001,422
2017,37063001002,1137
2017,37063001100,310
2017,37063001301,64
2017,37063001303,55
2017,37063001304,192
2017,37063001400,142
2017,37063001501,10
2017,37063001502,715
2017,37063001503,
2017,37063001601,173
2017,37063001603,167
2017,37063001604,88
2017,37063001705,277
2017,37063001706,195
2017,37063001707,131
2017,37063001708,276
2017,37063001709,415
2017,37063001710,360
2017,37063001711,468
2017,37063001801,706
2017,37063001802,781
2017,37063001806,309
2017,37063001807,690
2017,37063001808,300
2017,37063001809,245
2017,37063001900,58
2017,37063002007,112
2017,37063002008,14
2017,37063002009,337
2017,37063002013,106
2017,37063002015,579
2017,37063002016,521
2017,37063002017,106
2017,37063002018,113
2017,37063002019,32
2017,37063002020,71
2017,37063002021,97
2017,37063002022,96
2017,37063002023,39
2017,37063002024,94
2017,37063002025,272
2017,37063002026,315
2017,37063002027,282
2017,37063002028,186
2017,37063002100,55
2017,37063002200,72
2017,37063002300,57
2017,37063980100,
