"id","y_2010","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,715,307,454,456,496,669,524,457
370630001012,1597,1532,1517,1687,1625,1405,1499,1642
370630001021,1939,1847,1888,1753,1944,1995,1728,1436
370630001022,1071,999,854,946,739,790,1082,1299
370630002001,568,765,891,1098,885,983,947,716
370630002002,856,747,470,494,514,632,625,703
370630002003,374,568,354,380,440,246,196,228
370630003011,749,1094,871,726,699,791,756,787
370630003012,542,503,518,467,511,482,386,350
370630003013,318,261,350,399,307,227,172,164
370630003021,174,175,183,195,209,268,133,220
370630003022,552,756,695,550,504,280,353,461
370630003023,642,613,508,674,643,571,611,690
370630004011,269,105,62,26,97,132,174,157
370630004012,142,175,125,146,162,149,152,204
370630004013,139,131,153,109,145,148,123,120
370630004021,601,679,570,560,513,549,532,496
370630005001,596,284,340,316,382,460,514,553
370630005002,287,273,188,244,283,179,228,199
370630005003,1189,740,673,749,851,802,644,661
370630005004,997,787,960,991,1028,1514,1856,1803
370630006001,1416,1751,1676,1726,1807,1562,1122,1245
370630006002,1461,1652,1513,1648,1491,1353,1375,1206
370630006003,78,21,54,57,60,96,107,136
370630007001,346,511,470,453,308,291,369,423
370630007002,282,184,321,413,702,413,418,275
370630007003,567,653,735,816,733,874,589,458
370630009001,765,879,957,961,790,981,890,842
370630009002,841,770,867,1134,1115,919,677,634
370630010011,796,1402,1133,1189,1159,724,515,648
370630010012,1186,603,898,970,1102,1314,1603,1318
370630010013,1193,2359,1952,1803,1711,1392,1634,1274
370630010021,2912,2866,2318,2445,2585,2368,2057,2929
370630010022,710,852,1073,1006,871,966,796,559
370630010023,770,497,555,798,638,746,912,807
370630010024,1209,799,1296,1255,1416,1647,1566,1169
370630011001,1809,1361,1520,1894,2024,1725,1458,1317
370630011002,1192,1167,1169,1159,1225,1227,1248,1312
370630013011,1102,980,1059,1249,1350,1332,1448,1336
370630013031,3056,2387,2428,2792,2899,2882,2859,2903
370630013032,554,390,380,451,428,483,704,573
370630013041,2519,2706,2644,2743,2913,3277,3184,3339
370630014001,979,979,855,733,626,438,397,353
370630014002,1598,1933,1709,1725,1883,1908,2080,2007
370630015011,1543,1470,1280,1494,1604,1624,1729,1815
370630015021,2158,2323,2685,2610,2368,2307,2288,2123
370630015022,373,330,419,482,398,381,423,470
370630015023,1684,1663,1748,1600,1800,1567,1756,1660
370630015024,421,716,630,488,286,363,306,280
370630015031,897,1026,993,956,987,977,936,908
370630016011,310,403,498,559,508,577,552,544
370630016012,1341,1606,1525,1293,1699,1814,1857,2336
370630016013,545,1011,1125,701,616,237,207,195
370630016031,180,166,210,227,151,101,152,91
370630016032,1087,1462,1445,1396,1363,1335,1277,1357
370630016033,273,252,272,419,255,349,335,554
370630016034,226,194,145,145,91,157,286,214
370630016041,414,238,222,238,305,261,250,278
370630016042,479,839,425,201,321,500,466,445
370630016043,757,538,648,766,767,869,892,725
370630017051,737,640,608,859,1015,619,475,578
370630017052,459,481,848,777,708,1145,1026,662
370630017053,784,672,735,425,726,747,855,661
370630017061,883,1182,1411,1495,1734,1520,1372,1342
370630017062,853,1173,1211,1025,809,748,946,1099
370630017071,207,653,738,384,333,237,239,136
370630017072,329,463,530,566,611,551,436,439
370630017073,94,77,63,24,14,12,18,115
370630017074,320,243,323,330,347,76,164,110
370630017075,174,236,258,198,234,210,376,473
370630017081,3573,4289,4744,5106,4805,5023,4550,4356
370630017091,936,731,768,788,680,1027,1260,1374
370630017092,970,710,677,933,1027,1020,1009,872
370630017093,3445,4425,4211,3987,3940,4175,4146,3973
370630017101,1641,1508,1438,1805,2073,1956,2153,2239
370630017102,1813,1364,1673,1377,1015,1003,1013,1305
370630017111,925,792,1034,875,752,814,838,823
370630017112,1377,1175,1369,1476,1551,1583,1367,1328
370630017113,1179,1163,892,1109,1165,1233,1240,1228
370630018011,1383,1361,1564,1548,965,1125,996,933
370630018012,459,335,242,263,628,491,660,781
370630018013,2042,2522,2540,2553,3191,3132,2673,2583
370630018014,858,963,947,1085,761,895,1538,1881
370630018015,255,280,208,181,281,169,164,149
370630018021,1796,2143,2492,1965,2169,2278,2081,2182
370630018022,1509,1541,1266,1606,1758,2234,2164,1833
370630018023,1981,1976,2417,2063,2025,1983,1740,2229
370630018024,755,441,217,519,845,1119,1325,1286
370630018061,304,633,581,648,620,583,191,288
370630018062,3009,2602,2644,2691,3028,3624,4356,4503
370630018071,2393,2348,2333,2045,2089,2609,2390,2547
370630018072,2529,2601,2555,2765,2824,2782,3047,3025
370630018073,2337,2146,2229,2136,2137,1909,2055,2434
370630018081,1189,1165,1036,1120,1271,1359,1507,1066
370630018082,1485,1715,2044,2688,3030,3717,4272,5170
370630018091,1523,1860,1868,1982,1759,2091,2603,2744
370630018092,1280,2066,1699,1880,1104,1255,1023,949
370630019001,121,26,49,107,125,186,313,379
370630019002,491,396,263,439,515,579,614,690
370630020071,579,521,280,354,411,537,397,504
370630020072,981,1074,1248,1138,1336,1170,1020,718
370630020073,517,471,515,449,380,496,336,537
370630020081,78,147,157,128,114,138,121,100
370630020082,344,226,229,345,357,339,382,404
370630020091,1870,2011,1803,1676,1599,1493,1741,2202
370630020092,1103,846,952,990,1121,1186,1072,1065
370630020093,1627,1641,1626,1692,1800,1834,1791,1665
370630020131,779,633,666,667,790,741,713,979
370630020132,387,314,396,457,448,401,501,441
370630020133,803,880,854,840,711,747,786,768
370630020151,1619,1622,1761,2136,1701,2076,2362,2374
370630020152,1498,1319,1425,912,1185,1262,1018,952
370630020153,154,228,104,146,194,237,187,191
370630020161,2613,2796,2403,2406,2410,2774,2241,2347
370630020162,1474,1714,2300,2175,1885,1760,1556,1343
370630020171,429,493,425,442,458,508,500,511
370630020172,272,330,318,349,375,250,218,268
370630020173,861,981,1070,1227,1152,1183,1213,1132
370630020181,394,367,412,292,398,281,315,396
370630020182,1106,1314,1464,1736,2123,2284,2361,2892
370630020183,687,506,521,525,557,678,608,710
370630020191,547,471,467,435,326,389,370,519
370630020192,385,339,369,582,450,347,240,331
370630020193,199,181,193,166,268,376,471,366
370630020201,671,650,933,814,753,617,552,586
370630020202,1681,1736,1677,1623,1845,1874,2315,2213
370630020211,1332,1263,1170,1069,1101,1404,1182,1288
370630020212,998,781,1059,1001,1192,507,1007,980
370630020221,1074,1532,1573,1520,1601,1692,1936,1689
370630020222,1188,852,738,744,583,664,853,976
370630020231,447,415,511,516,664,489,650,583
370630020232,675,412,368,558,622,640,740,805
370630020241,1341,1803,1652,1418,1583,1441,1524,1406
370630020242,252,198,211,352,255,398,359,284
370630020243,351,438,447,422,372,299,277,268
370630020251,1430,2051,2158,2177,1876,1920,1839,1882
370630020252,1728,1052,1142,1376,1636,1929,2147,2024
370630020253,806,849,664,629,799,697,723,646
370630020261,2011,1562,2090,1999,2201,2142,2679,2898
370630020262,3122,3001,2861,3715,3475,3538,3286,3432
370630020271,920,1650,1678,1748,968,680,749,1613
370630020272,2603,2619,2909,3008,4189,4376,4385,3277
370630020273,1269,861,1151,1348,1642,1910,1964,1845
370630020281,1262,1001,1677,1765,1466,1303,1185,1463
370630020282,702,366,394,635,1086,1149,1401,1570
370630020283,1515,1637,1975,1661,1890,2207,2864,3043
370630021001,433,310,274,331,438,405,546,561
370630021002,473,2988,2994,2911,2902,2873,2792,2624
370630021003,353,89,88,96,111,114,250,332
370630022001,948,675,691,608,651,971,826,873
370630023001,1074,1099,973,833,925,897,771,879
370630023002,177,355,362,398,414,257,551,475
370639801001,4,0,0,0,0,0,0,0
