id,y_2010,y_2016,y_2019,y_2020,y_2021
370630001011,12,0,0,13.43707713126,0
370630001012,24,7,22,6.64083304289,13
370630001021,55,0,51,26.163271664185,0.767059814659
370630001022,19,12,6,10.836728335815002,0.232940185341
370630002001,9,41,22,9.107750472588,0.08979206049
370630002002,19,8,6,5.892249527412,4.91020793951
370630002003,19,0,0,8,0
370630003011,12,17,0,17.56457564576,0
370630003012,2,4,5,8.134846461945,0
370630003013,5,0,0,0.891491985203,0
370630003021,6,0,0,1,0
370630003022,6,0,0,22,0
370630003023,30,0,0,22,0
370630004011,12,9,12,8.79335793358,0
370630004012,1,0,0,2.64206642066,0
370630004013,1,0,0,1.372496662216,0
370630004021,18,0,0,11.601164890627,13
370630005001,5,14,15,7.556058890148,7.261608154024
370630005002,8,0,0,4.443941109852,20.738391845976
370630005003,21,10,9,3,0
370630005004,28,12,10,12.472527472522,0
370630006001,55,22,28,32.527472527478,20
370630006002,18,11,0,19.862458784742,0
370630006003,4,16,16,1.137541215258,0
370630007001,14,12,8,4,22
370630007002,15,9,9,4,0
370630007003,16,0,42,4,0
370630009001,5,0,0,17,0
370630009002,3,29,17,56,0
370630010011,15,19,15,17,23
370630010012,30,22,14,39,0
370630010013,15,0,0,23,0
370630010021,61,28,31,84,0
370630010022,9,10,39,10,42
370630010023,11,0,0,15,0
370630010024,24,66,46,63,0
370630011001,27,24,23,30,0
370630011002,20,4,6,13,0
370630013011,9,0,6,11,0
370630013031,26,30,27,2,4
370630013032,19,0,0,0,0
370630013041,31,299,265,28,0
370630014001,11,0,0,4,0
370630014002,16,0,0,8,0
370630015011,21,9,4,1,14
370630015021,51,17,19,31.142188864969,0
370630015022,3,0,0,16.857811135031,0
370630015023,13,62,169,3.699957941384,12.149810736228
370630015024,6,23,13,1.300042058616,5.850189263772
370630015031,10,10,6,0,10
370630016011,13,11,12,18,0
370630016012,20,89,73,15.683313032886,0
370630016013,36,0,0,23.316686967114,0
370630016031,1,0,0,3.4109256422400005,0
370630016032,32,20,0,24.451166296471,0
370630016033,11,11,10,5.137908061289,0
370630016034,19,0,0,13.804878048784,34.146341463430005
370630016041,7,30,33,8.61552680222,0
370630016042,10,5,0,17.38447319778,0
370630016043,16,0,0,3,0
370630017051,25,0,0,26.265255292649,0
370630017052,4,25,23,8.603355302573,34
370630017053,14,0,0,9.734744707351,15
370630017061,12,21,42,13.774764942287,0
370630017062,25,0,0,5.225235057713,27
370630017071,8,0,0,2.917596566523,0
370630017072,15,0,13,13.856762407835,0
370630017073,2,0,0,3,0
370630017074,10,14,20,2,0
370630017075,4,0,0,1,0
370630017081,61,45,55,43,0
370630017091,5,0,0,14.174973252103,0
370630017092,2,0,0,4.922032479555,0
370630017093,66,134,133,55.825084094192,0
370630017101,37,32,29,19,0
370630017102,30,23,18,19,0
370630017111,45,3,8,5.992452830197,0
370630017112,14,17,19,16.007547169803,0
370630017113,26,12,12,8.396644697427,0
370630018011,25,0,0,24.268949619288,0
370630018012,3,0,0,14,0
370630018013,28,0,0,28.60075866708,1.156862745083
370630018014,18,0,0,17.193345216876,57.843137254916996
370630018015,7,0,0,9.936946496756,0
370630018021,43,0,0,54.33849378698,79.06094572887201
370630018022,20,0,0,20.66150621302,106.939054271128
370630018023,43,65,72,21,59
370630018024,16,6,6,20,0
370630018061,9,0,0,5,0
370630018062,40,25,82,45,15
370630018071,33,82,78,45,8
370630018072,41,0,0,36,0
370630018073,23,0,0,24,0
370630018081,39,0,0,26,0
370630018082,25,68,51,32.874335106387,49.76728723405
370630018091,53,14,15,18,0
370630018092,36,18,20,17.125664893613,0.23271276595
370630019001,3,0,0,6.266868054803,2.657190635449
370630019002,13,76,31,9.733131214488,4.342808633842
370630020071,14,0,0,26.019667170952,0
370630020072,28,0,0,12.980332829048,0
370630020073,18,37,32,6,0
370630020081,4,9,0,4,0
370630020082,13,72,59,6,11
370630020091,37,0,0,12,0
370630020092,17,33,42,6,0
370630020093,14,32,18,15,0
370630020131,27,11,12,17,0
370630020132,12,0,0,3.264705882351,3.62745098039
370630020133,39,37,82,10.735294117649,6.37254901961
370630020151,41,0,0,44.019422074866,0
370630020152,32,0,0,24.951529802063,24
370630020153,4,0,0,5.575683306126,0
