id,y_2000,y_2001,y_2002,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630001011,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663,0.71663
370630001012,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903,0.59903
370630001021,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336,0.60336
370630001022,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337,0.93337
370630002001,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369,0.71369
370630002002,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952,0.1952
370630002003,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757,0.25757
370630003011,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845,0.34845
370630003012,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165,0.10165
370630003013,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115,0.10115
370630003021,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516,0.23516
370630003022,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337,0.17337
370630003023,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635,0.25635
370630004011,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637,0.49637
370630004012,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158,0.28158
370630004013,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566,0.53566
370630004021,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293,0.55293
370630005001,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331,0.34331
370630005002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002,0.18002
370630005003,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819,0.15819
370630005004,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322,0.18322
370630006001,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062,0.69062
370630006002,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661,0.6661
370630006003,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908,1.41908
370630007001,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893,0.35893
370630007002,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253,0.5253
370630007003,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046,0.43046
370630009001,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025,0.20025
370630009002,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568,0.19568
370630010011,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526,0.19526
370630010012,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444,0.23444
370630010013,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323,0.45323
370630010021,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488,0.63488
370630010022,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764,0.34764
370630010023,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858,0.12858
370630010024,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176,0.18176
370630011001,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317,0.27317
370630011002,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579,0.26579
370630013011,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821,0.2821
370630013031,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326,0.43326
370630013032,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538,0.14538
370630013041,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764,0.66764
370630014001,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792,0.17792
370630014002,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422,0.55422
370630015011,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771,1.05771
370630015021,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257,0.34257
