"id","y_2010","y_2015","y_2016","y_2017","y_2018"
370630001011,125,116,144,130,126
370630001012,168,195,172,187,193
370630001021,166,116,139,149,145
370630001022,348,361,344,351,337
370630002001,63,68,79,90,66
370630002002,56,110,91,100,55
370630002003,74,80,74,58,73
370630003011,60,69,92,123,86
370630003012,44,69,65,59,66
370630003013,35,87,87,70,85
370630003021,75,99,61,51,36
370630003022,46,63,72,93,91
370630003023,91,79,116,121,133
370630004011,100,103,119,108,111
370630004012,89,166,160,173,161
370630004013,70,73,88,76,87
370630004021,99,87,156,115,136
370630005001,192,184,163,191,214
370630005002,27,48,56,42,30
370630005003,42,21,22,17,20
370630005004,80,50,78,102,97
370630006001,207,259,250,267,264
370630006002,142,163,152,140,85
370630006003,138,29,57,65,109
370630007001,163,193,161,130,200
370630007002,97,132,152,183,228
370630007003,109,153,161,165,142
370630009001,64,48,63,92,96
370630009002,73,184,182,127,140
370630010011,70,72,65,86,56
370630010012,88,159,161,136,153
370630010013,102,109,78,110,125
370630010021,193,171,102,140,128
370630010022,63,71,73,109,98
370630010023,42,70,72,43,63
370630010024,76,40,29,64,71
370630011001,142,118,109,171,202
370630011002,152,164,179,229,199
370630013011,125,88,112,121,140
370630013031,206,145,184,208,185
370630013032,120,79,81,61,93
370630013041,342,369,392,334,367
370630014001,95,85,82,83,70
370630014002,142,189,157,158,113
370630015011,0,0,0,0,0
370630015021,189,266,282,254,287
370630015022,3,0,0,0,0
370630015023,47,73,36,37,22
370630015024,37,48,113,105,66
370630015031,3,0,0,0,0
370630016011,258,420,349,325,329
370630016012,256,331,439,496,571
370630016013,405,325,338,304,244
370630016031,135,149,164,126,125
370630016032,233,299,357,419,410
370630016033,261,223,205,238,218
370630016034,204,203,271,288,404
370630016041,367,374,468,495,486
370630016042,468,634,649,670,735
370630016043,174,175,186,230,298
370630017051,285,377,388,533,574
370630017052,438,520,498,608,704
370630017053,106,57,45,87,124
370630017061,126,166,283,276,329
370630017062,134,214,197,227,185
370630017071,177,304,332,297,240
370630017072,287,447,418,437,436
370630017073,105,142,121,121,190
370630017074,228,283,341,332,379
370630017075,708,787,853,853,854
370630017081,486,656,685,670,640
370630017091,91,44,33,64,55
370630017092,97,87,97,164,164
370630017093,460,539,609,412,438
370630017101,271,236,270,249,264
370630017102,87,105,99,78,106
370630017111,84,72,95,184,203
370630017112,61,141,107,99,115
370630017113,91,162,178,133,119
370630018011,132,121,108,189,119
370630018012,63,125,237,214,212
370630018013,199,178,177,353,243
370630018014,133,216,304,321,244
370630018015,135,157,114,147,115
370630018021,144,195,189,256,264
370630018022,70,37,49,56,176
370630018023,167,171,105,65,242
370630018024,78,161,216,156,105
370630018061,317,325,256,266,329
370630018062,243,235,253,276,248
370630018071,329,372,370,340,265
370630018072,171,122,132,143,233
370630018073,89,90,101,95,164
370630018081,207,266,339,406,469
370630018082,263,339,421,438,416
370630018091,158,249,241,178,143
370630018092,180,171,237,280,291
370630019001,148,147,148,359,735
370630019002,201,309,301,283,293
370630020071,336,471,499,599,594
370630020072,303,252,263,371,375
370630020073,127,210,198,188,192
370630020081,191,196,198,204,216
370630020082,289,352,316,332,350
370630020091,283,213,247,279,266
370630020092,202,237,261,341,348
370630020093,299,384,345,269,273
370630020131,162,149,180,176,205
370630020132,85,137,143,144,202
370630020133,181,312,240,264,232
370630020151,104,67,72,44,40
370630020152,111,94,121,143,115
370630020153,395,322,345,340,338
370630020161,47,47,61,32,17
370630020162,113,222,168,159,124
370630020171,303,443,451,383,286
370630020172,298,275,367,314,367
370630020173,365,519,586,676,698
370630020181,743,1075,1035,1116,1093
370630020182,192,227,233,238,390
370630020183,274,296,353,391,455
370630020191,39,81,94,103,213
370630020192,79,126,270,339,366
370630020193,428,484,364,341,346
370630020201,80,189,208,200,176
370630020202,266,289,369,538,474
370630020211,190,230,235,311,199
370630020212,120,91,114,130,164
370630020221,109,143,174,199,282
370630020222,251,351,354,394,411
370630020231,66,79,73,85,119
370630020232,212,255,298,318,292
370630020241,169,283,370,367,389
370630020242,86,90,176,270,229
370630020243,148,212,138,162,298
370630020251,152,284,285,370,367
370630020252,154,254,312,303,307
370630020253,82,47,50,51,58
370630020261,251,288,278,284,267
370630020262,280,306,320,299,290
370630020271,169,304,240,185,250
370630020272,222,233,241,336,498
370630020273,53,0,0,60,223
370630020281,114,139,177,154,239
370630020282,32,49,61,115,107
370630020283,49,12,49,156,158
370630021001,363,423,443,613,650
370630021002,268,411,490,459,525
370630021003,322,455,456,403,369
370630022001,66,81,114,144,212
370630023001,86,60,80,66,83
370630023002,18,14,14,7,24
370639801001,0,0,0,0,0
