"id","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017"
"370630001011",45,61,67,54,40,60
"370630001012",112,113,86,63,71,43
"370630001021",271,321,378,338,238,337
"370630001022",61,60,79,65,55,62
"370630002001",131,153,144,158,181,91
"370630002002",68,75,89,69,70,52
"370630002003",51,54,45,36,35,16
"370630003011",149,127,90,96,73,80
"370630003012",53,35,30,48,56,47
"370630003013",39,25,14,21,21,19
"370630003021",28,22,19,18,16,3
"370630003022",38,41,32,37,39,31
"370630003023",100,116,94,98,77,59
"370630004011",23,20,14,25,20,18
"370630004012",27,27,3,7,2,3
"370630004013",14,21,14,1,5,5
"370630004021",47,35,19,28,28,30
"370630005001",1,2,,2,2,1
"370630005002",24,18,11,9,12,8
"370630005003",65,85,45,63,45,42
"370630005004",92,120,90,92,97,87
"370630006001",174,202,196,183,170,154
"370630006002",144,172,173,175,207,146
"370630006003",2,2,1,5,10,4
"370630007001",13,14,33,22,16,25
"370630007002",27,24,19,11,23,18
"370630007003",53,43,33,34,45,56
"370630009001",80,79,116,108,78,79
"370630009002",93,95,71,60,60,98
"370630010011",75,80,64,52,57,46
"370630010012",91,119,99,76,80,67
"370630010013",106,93,101,125,127,88
"370630010021",199,162,212,195,206,121
"370630010022",100,92,76,65,65,70
"370630010023",107,90,81,61,77,64
"370630010024",105,102,81,85,67,66
"370630011001",212,203,190,173,177,150
"370630011002",45,135,72,86,129,77
"370630013011",119,109,134,113,104,133
"370630013031",63,57,60,55,58,60
"370630013032",32,39,46,38,45,32
"370630013041",233,252,216,128,202,150
"370630014001",92,134,116,94,170,123
"370630014002",215,235,267,254,321,269
"370630015011",1,,,,,
"370630015021",233,224,192,156,193,193
"370630015022",1,1,8,18,8,8
"370630015023",76,59,95,58,71,70
"370630015024",214,199,202,137,99,113
"370630016011",6,13,10,5,4,4
"370630016012",18,17,9,19,20,11
"370630016013",16,13,7,11,15,8
"370630016031",4,,1,,1,2
"370630016032",18,8,7,23,23,18
"370630016033",9,7,4,2,2,1
"370630016034",2,1,1,,2,2
"370630016041",5,11,7,3,1,2
"370630016042",7,1,1,4,6,2
"370630016043",5,9,2,2,5,5
"370630017051",19,28,26,22,27,13
"370630017052",36,50,13,16,13,44
"370630017053",71,76,55,49,30,41
"370630017061",247,235,220,305,320,206
"370630017062",83,98,120,96,103,75
"370630017071",25,29,8,16,5,20
"370630017072",7,27,23,11,13,11
"370630017073",,4,6,8,,
"370630017074",12,9,5,3,4,3
"370630017075",,1,,1,,
"370630017081",199,226,222,153,149,130
"370630017091",63,52,42,52,34,29
"370630017092",42,44,38,53,49,34
"370630017093",454,506,492,447,416,396
"370630017101",112,132,119,115,94,104
"370630017102",262,176,131,61,248,151
"370630017111",82,106,123,120,152,113
"370630017112",235,171,175,190,188,154
"370630017113",203,177,177,174,158,167
"370630018011",30,18,6,31,28,17
"370630018012",11,16,23,23,31,17
"370630018013",34,19,13,29,46,38
"370630018014",20,18,11,29,29,27
"370630018015",5,4,1,4,,1
"370630018021",55,47,64,50,65,64
"370630018022",126,111,115,127,157,153
"370630018023",102,94,71,63,46,39
"370630018024",15,25,13,13,20,20
"370630018061",3,9,6,4,4,8
"370630018062",50,29,32,46,28,32
"370630018071",261,243,214,181,208,115
"370630018072",56,54,56,42,43,36
"370630018073",24,32,16,11,16,16
"370630018081",11,11,8,5,21,22
"370630018082",22,57,69,64,61,47
"370630018091",168,214,266,166,172,170
"370630018092",86,49,67,38,54,53
"370630019001",1,1,4,,2,2
"370630019002",1,3,2,1,2,5
"370630020071",11,6,5,9,4,3
"370630020072",72,49,57,52,86,78
"370630020073",11,8,5,1,5,2
"370630020081",,1,,2,1,1
"370630020082",1,2,13,15,8,3
"370630020091",79,80,46,49,29,41
"370630020092",52,28,26,23,15,18
"370630020093",30,41,62,47,44,35
"370630020131",15,23,13,14,20,13
"370630020132",8,10,3,12,9,7
"370630020133",25,36,23,10,4,7
"370630020151",269,221,237,150,141,124
"370630020152",221,175,195,173,204,143
"370630020153",7,10,6,8,3,1
"370630020161",400,269,267,264,236,201
"370630020162",200,232,201,201,229,208
"370630020171",9,4,31,43,43,49
"370630020172",15,6,6,1,5,2
"370630020173",16,35,28,57,81,63
"370630020181",71,33,24,31,56,34
"370630020182",266,338,259,255,194,128
"370630020183",2,4,,5,13,16
"370630020191",58,72,72,46,67,42
"370630020192",3,2,3,2,6,4
"370630020193",,1,1,,,
"370630020201",2,2,2,2,2,4
"370630020202",1,1,7,8,5,8
"370630020211",81,84,69,65,70,61
"370630020212",25,33,53,25,21,83
"370630020221",96,79,93,73,82,42
"370630020222",71,92,64,63,45,46
"370630020231",124,119,110,97,82,55
"370630020232",39,32,28,48,42,25
"370630020241",51,48,50,39,36,33
"370630020242",36,17,24,18,15,6
"370630020243",51,24,22,6,3,3
"370630020251",13,5,7,7,2,9
"370630020252",153,118,93,99,111,95
"370630020253",94,47,31,54,56,40
"370630020261",46,72,85,50,41,49
"370630020262",312,433,456,409,361,268
"370630020271",15,24,63,39,49,62
"370630020272",181,175,181,161,119,200
"370630020273",267,219,212,203,163,138
"370630020281",15,6,7,6,8,8
"370630020282",72,44,77,69,86,115
"370630020283",256,283,214,180,176,177
"370630021001",3,4,1,1,3,3
"370630021002",15,20,17,9,2,4
"370630021003",11,6,4,3,2,8
"370630022001",65,79,61,73,48,50
"370630023001",65,68,51,56,61,41
"370630023002",39,62,50,35,52,29
"370639801001",5,9,16,19,10,19
